time,open,high,low,close
2025-03-10T09:30:00-04:00,20795,20811.5,20701.5,20732.5
2025-03-10T09:35:00-04:00,20732,20772.75,20720,20754
2025-03-10T09:40:00-04:00,20755.75,20818.5,20735.5,20795.75
2025-03-10T09:45:00-04:00,20797.25,20812.5,20717.75,20751.25
2025-03-10T09:50:00-04:00,20752.5,20778.75,20658.25,20680
2025-03-10T09:55:00-04:00,20680,20742,20679.25,20704.5
2025-03-10T10:00:00-04:00,20704,20704,20605,20621.5
2025-03-10T10:05:00-04:00,20622.5,20650,20606.25,20616
2025-03-10T10:10:00-04:00,20615.75,20653,20596.75,20634.25
2025-03-10T10:15:00-04:00,20634,20663.5,20586,20608.5
2025-03-10T10:20:00-04:00,20608.75,20641.75,20568.25,20626.25
2025-03-10T10:25:00-04:00,20626.25,20636,20575.75,20582
2025-03-10T10:30:00-04:00,20582.5,20611.75,20536,20550.25
2025-03-10T10:35:00-04:00,20551,20601.75,20537.5,20569.5
2025-03-10T10:40:00-04:00,20570,20575.25,20531.75,20534
2025-03-10T10:45:00-04:00,20534,20561,20503.5,20530.5
2025-03-10T10:50:00-04:00,20529.5,20536.5,20466,20473.5
2025-03-10T10:55:00-04:00,20473.5,20478.5,20435,20468
2025-03-10T11:00:00-04:00,20468.5,20510.75,20463.25,20481.5
2025-03-10T11:05:00-04:00,20481.25,20528.75,20473.25,20521.25
2025-03-10T11:10:00-04:00,20521,20532.5,20494.75,20521
2025-03-10T11:15:00-04:00,20521.75,20530.25,20479.25,20483.75
2025-03-10T11:20:00-04:00,20483.25,20548.75,20474.5,20527.5
2025-03-10T11:25:00-04:00,20526.75,20550.5,20515.5,20546.25
2025-03-10T11:30:00-04:00,20547.5,20596.25,20541.5,20581.25
2025-03-10T11:35:00-04:00,20582,20617,20569.75,20580.5
2025-03-10T11:40:00-04:00,20581.5,20589,20501.5,20518
2025-03-10T11:45:00-04:00,20519,20575.25,20515.75,20564.5
2025-03-10T11:50:00-04:00,20563.75,20569,20524.75,20536.5
2025-03-10T11:55:00-04:00,20536.75,20541.25,20488.25,20501.25
2025-03-10T12:00:00-04:00,20500.5,20534.25,20481.5,20485.75
2025-03-10T12:05:00-04:00,20485.5,20504,20472,20481.75
2025-03-10T12:10:00-04:00,20483.25,20525,20483,20520.5
2025-03-10T12:15:00-04:00,20521.25,20525.5,20453,20462.5
2025-03-10T12:20:00-04:00,20462.75,20470.5,20436.75,20464.5
2025-03-10T12:25:00-04:00,20464.5,20495.25,20454.5,20493.75
2025-03-10T12:30:00-04:00,20494,20553.25,20480.5,20547.5
2025-03-10T12:35:00-04:00,20546.5,20546.5,20449.25,20452.25
2025-03-10T12:40:00-04:00,20451.75,20474,20445,20450.25
2025-03-10T12:45:00-04:00,20449.5,20483.75,20447,20462.5
2025-03-10T12:50:00-04:00,20462.25,20492.5,20454.5,20475.75
2025-03-10T12:55:00-04:00,20473.75,20497.75,20455,20456.75
2025-03-10T13:00:00-04:00,20456.75,20464.75,20398.5,20412
2025-03-10T13:05:00-04:00,20412,20430.25,20395.5,20398.75
2025-03-10T13:10:00-04:00,20398.25,20416.75,20369,20413.75
2025-03-10T13:15:00-04:00,20413,20438.25,20406.25,20429.5
2025-03-10T13:20:00-04:00,20430.25,20467,20423.25,20451.75
2025-03-10T13:25:00-04:00,20450.75,20453.25,20411.75,20421.75
2025-03-10T13:30:00-04:00,20422.5,20428.25,20388.5,20393.75
2025-03-10T13:35:00-04:00,20393,20408.25,20352,20380.75
2025-03-10T13:40:00-04:00,20380.5,20388.75,20366,20367.75
2025-03-10T13:45:00-04:00,20367.25,20397,20342.5,20356.25
2025-03-10T13:50:00-04:00,20355.5,20384.75,20336,20383.5
2025-03-10T13:55:00-04:00,20382.5,20387,20351,20355.75
2025-03-10T14:00:00-04:00,20356,20366,20337,20343
2025-03-10T14:05:00-04:00,20343.5,20347.25,20310.75,20345.25
2025-03-10T14:10:00-04:00,20345.75,20414,20341.5,20366.5
2025-03-10T14:15:00-04:00,20367.5,20397.75,20349.5,20354
2025-03-10T14:20:00-04:00,20355,20377.25,20346.75,20358.5
2025-03-10T14:25:00-04:00,20357.75,20367.25,20327.75,20345.25
2025-03-10T14:30:00-04:00,20345.75,20382,20345.75,20355.5
2025-03-10T14:35:00-04:00,20355,20359.5,20330,20332.5
2025-03-10T14:40:00-04:00,20331.25,20344,20305.25,20331.75
2025-03-10T14:45:00-04:00,20332,20341.5,20321.5,20325.75
2025-03-10T14:50:00-04:00,20325.75,20341,20289.25,20294.25
2025-03-10T14:55:00-04:00,20295,20298.5,20244,20252.75
2025-03-10T15:00:00-04:00,20252.5,20280.25,20215,20235.75
2025-03-10T15:05:00-04:00,20234.75,20250.5,20188.25,20195
2025-03-10T15:10:00-04:00,20194,20264,20186.25,20259
2025-03-10T15:15:00-04:00,20260,20320.75,20251.5,20313.5
2025-03-10T15:20:00-04:00,20313.5,20366.25,20306,20360.25
2025-03-10T15:25:00-04:00,20362,20414,20343.25,20348
2025-03-10T15:30:00-04:00,20347.75,20456,20343.25,20445.75
2025-03-10T15:35:00-04:00,20445.75,20465.25,20377.75,20422
2025-03-10T15:40:00-04:00,20422.25,20429.5,20307.25,20309
2025-03-10T15:45:00-04:00,20308.25,20376,20306.75,20360.75
2025-03-10T15:50:00-04:00,20359,20403.75,20310.5,20345
2025-03-10T15:55:00-04:00,20345.75,20403.25,20334.75,20377.5
2025-03-10T16:00:00-04:00,20377.25,20384.5,20330.25,20371.25
2025-03-10T16:05:00-04:00,20371.5,20392.5,20353.25,20382.25
2025-03-10T16:10:00-04:00,20382.25,20391.5,20364,20379.75
2025-03-11T09:30:00-04:00,20334.5,20374.5,20299.75,20336.5
2025-03-11T09:35:00-04:00,20336.25,20457.25,20313.5,20451.5
2025-03-11T09:40:00-04:00,20452.25,20466.75,20392.75,20450.25
2025-03-11T09:45:00-04:00,20450.5,20507.25,20404,20501.5
2025-03-11T09:50:00-04:00,20500,20513,20416.75,20434
2025-03-11T09:55:00-04:00,20433.5,20465.75,20419,20437.5
2025-03-11T10:00:00-04:00,20437.25,20528,20267.25,20298.75
2025-03-11T10:05:00-04:00,20298.5,20452,20292.25,20439
2025-03-11T10:10:00-04:00,20440,20449.25,20337.75,20354.75
2025-03-11T10:15:00-04:00,20354.25,20399,20313.5,20367.75
2025-03-11T10:20:00-04:00,20366.5,20388,20279.75,20302.75
2025-03-11T10:25:00-04:00,20302.75,20308.5,20227.5,20235.75
2025-03-11T10:30:00-04:00,20235.75,20298.5,20231,20245.75
2025-03-11T10:35:00-04:00,20247.25,20283.5,20183.5,20205.75
2025-03-11T10:40:00-04:00,20204.75,20269,20178.5,20239.5
2025-03-11T10:45:00-04:00,20240.5,20282.25,20195,20219
2025-03-11T10:50:00-04:00,20219.5,20332,20201.75,20323
2025-03-11T10:55:00-04:00,20324.25,20326,20220,20229
2025-03-11T11:00:00-04:00,20225.75,20289.5,20200,20242
2025-03-11T11:05:00-04:00,20240.5,20389.5,20234,20382.75
2025-03-11T11:10:00-04:00,20381.25,20422.5,20349.5,20376
2025-03-11T11:15:00-04:00,20377.25,20413.25,20364,20385
2025-03-11T11:20:00-04:00,20384,20400.25,20325.25,20335.25
2025-03-11T11:25:00-04:00,20336.25,20397.5,20335.5,20344.75
2025-03-11T11:30:00-04:00,20342.25,20411.5,20328.75,20387.5
2025-03-11T11:35:00-04:00,20389.5,20405.75,20341.25,20398.5
2025-03-11T11:40:00-04:00,20402.75,20458.25,20396.5,20428
2025-03-11T11:45:00-04:00,20428.75,20439.25,20377.25,20419.25
2025-03-11T11:50:00-04:00,20420.5,20433.5,20384.25,20414.75
2025-03-11T11:55:00-04:00,20415.25,20421.75,20326.75,20336.25
2025-03-11T12:00:00-04:00,20336,20360,20303.75,20330.75
2025-03-11T12:05:00-04:00,20328,20338.75,20273.5,20288.75
2025-03-11T12:10:00-04:00,20290,20293.5,20247.25,20257.5
2025-03-11T12:15:00-04:00,20256,20289.5,20250.5,20281.5
2025-03-11T12:20:00-04:00,20281.25,20321.25,20272.25,20300.75
2025-03-11T12:25:00-04:00,20303.5,20333,20294.5,20300.5
2025-03-11T12:30:00-04:00,20300.5,20337.75,20295.75,20327.25
2025-03-11T12:35:00-04:00,20329.75,20347.75,20280,20289.5
2025-03-11T12:40:00-04:00,20290,20328.5,20251,20276
2025-03-11T12:45:00-04:00,20277,20301.5,20266,20295
2025-03-11T12:50:00-04:00,20293,20305.75,20222.75,20247.75
2025-03-11T12:55:00-04:00,20246,20267,20210,20237
2025-03-11T13:00:00-04:00,20237,20243.5,20197,20208.25
2025-03-11T13:05:00-04:00,20208.75,20225.5,20192.25,20211.25
2025-03-11T13:10:00-04:00,20212.5,20226.5,20189,20198.25
2025-03-11T13:15:00-04:00,20200.5,20235,20186,20203.5
2025-03-11T13:20:00-04:00,20202.5,20216.5,20133.75,20160.25
2025-03-11T13:25:00-04:00,20161,20168,20121,20123
2025-03-11T13:30:00-04:00,20122.75,20175.75,20115,20142.5
2025-03-11T13:35:00-04:00,20142,20167,20123.75,20161.25
2025-03-11T13:40:00-04:00,20162.5,20212,20159.25,20211
2025-03-11T13:45:00-04:00,20211.25,20279.25,20198.75,20255.25
2025-03-11T13:50:00-04:00,20254.5,20283.5,20228.75,20258
2025-03-11T13:55:00-04:00,20258,20261.5,20191.5,20239
2025-03-11T14:00:00-04:00,20240,20356.75,20233,20335.5
2025-03-11T14:05:00-04:00,20337,20376.5,20307.75,20348.75
2025-03-11T14:10:00-04:00,20348.75,20402.5,20346.75,20398.25
2025-03-11T14:15:00-04:00,20397.75,20403.75,20364,20392.75
2025-03-11T14:20:00-04:00,20393.5,20461.25,20376.75,20424.75
2025-03-11T14:25:00-04:00,20425.5,20444,20397.5,20422.75
2025-03-11T14:30:00-04:00,20423.75,20433,20375.5,20399.75
2025-03-11T14:35:00-04:00,20399.75,20444,20382.75,20437.75
2025-03-11T14:40:00-04:00,20438,20523.5,20429.5,20512
2025-03-11T14:45:00-04:00,20514,20540.25,20493.25,20537.5
2025-03-11T14:50:00-04:00,20537.5,20600.75,20527.75,20573.75
2025-03-11T14:55:00-04:00,20572.75,20578.75,20531,20553.25
2025-03-11T15:00:00-04:00,20554,20559.25,20471.5,20520
2025-03-11T15:05:00-04:00,20520.75,20591.5,20518,20559.75
2025-03-11T15:10:00-04:00,20559.75,20560,20487.25,20492.25
2025-03-11T15:15:00-04:00,20493,20493.75,20446,20468.75
2025-03-11T15:20:00-04:00,20469.25,20520.5,20418.25,20422
2025-03-11T15:25:00-04:00,20423.5,20494.25,20417,20465.5
2025-03-11T15:30:00-04:00,20465.25,20482,20434,20441
2025-03-11T15:35:00-04:00,20441.75,20481.5,20423,20432.75
2025-03-11T15:40:00-04:00,20432.5,20455.25,20399.5,20450.5
2025-03-11T15:45:00-04:00,20449,20477.25,20419.25,20465.25
2025-03-11T15:50:00-04:00,20466.25,20467.75,20358,20389.25
2025-03-11T15:55:00-04:00,20390,20399.25,20305.75,20307
2025-03-11T16:00:00-04:00,20306.5,20342.5,20295,20340.5
2025-03-11T16:05:00-04:00,20340,20349.5,20313.5,20341.5
2025-03-11T16:10:00-04:00,20342.75,20360,20327.25,20352.5
2025-03-12T09:30:00-04:00,20610.5,20687.25,20584.5,20649.75
2025-03-12T09:35:00-04:00,20649.5,20681.75,20616,20679
2025-03-12T09:40:00-04:00,20679.75,20691.75,20580.5,20599.25
2025-03-12T09:45:00-04:00,20601,20648.75,20550.25,20581
2025-03-12T09:50:00-04:00,20581.75,20643.25,20555.25,20556.5
2025-03-12T09:55:00-04:00,20556.75,20571,20503.75,20558.5
2025-03-12T10:00:00-04:00,20557.25,20582.75,20494,20572
2025-03-12T10:05:00-04:00,20573.25,20625.5,20568.5,20621
2025-03-12T10:10:00-04:00,20621.25,20639.25,20545.25,20557
2025-03-12T10:15:00-04:00,20557,20558,20501.25,20547.25
2025-03-12T10:20:00-04:00,20545.5,20576,20501.5,20528.75
2025-03-12T10:25:00-04:00,20527.5,20575.75,20518.5,20544.75
2025-03-12T10:30:00-04:00,20545,20558.5,20453.5,20465.25
2025-03-12T10:35:00-04:00,20465.25,20490,20444,20453.75
2025-03-12T10:40:00-04:00,20452,20465.5,20415,20435.75
2025-03-12T10:45:00-04:00,20435.5,20457.25,20418.5,20430.25
2025-03-12T10:50:00-04:00,20430.75,20483.5,20415.75,20475.75
2025-03-12T10:55:00-04:00,20476,20477,20383.5,20389.75
2025-03-12T11:00:00-04:00,20388.25,20403.25,20342.5,20354.5
2025-03-12T11:05:00-04:00,20353.5,20368.25,20309.25,20342
2025-03-12T11:10:00-04:00,20343,20367.25,20327.25,20351
2025-03-12T11:15:00-04:00,20351.25,20408.75,20327.5,20392.25
2025-03-12T11:20:00-04:00,20392.5,20435,20365.25,20418
2025-03-12T11:25:00-04:00,20419.25,20457.5,20409,20438.25
2025-03-12T11:30:00-04:00,20438.25,20475.25,20424,20443.75
2025-03-12T11:35:00-04:00,20443.75,20499.75,20442.75,20485.5
2025-03-12T11:40:00-04:00,20485.5,20505.25,20469.5,20491.25
2025-03-12T11:45:00-04:00,20491.75,20529,20476.25,20521.75
2025-03-12T11:50:00-04:00,20521.5,20543.25,20514.75,20537
2025-03-12T11:55:00-04:00,20536.25,20552,20485,20547
2025-03-12T12:00:00-04:00,20547.5,20548.5,20500.5,20523
2025-03-12T12:05:00-04:00,20522.75,20576,20515.5,20564.75
2025-03-12T12:10:00-04:00,20565.25,20605.75,20540.25,20598.25
2025-03-12T12:15:00-04:00,20598,20603,20567.25,20595.25
2025-03-12T12:20:00-04:00,20595,20617,20594,20607
2025-03-12T12:25:00-04:00,20607,20617.5,20572.75,20594.25
2025-03-12T12:30:00-04:00,20594.25,20626,20594.25,20625.25
2025-03-12T12:35:00-04:00,20625.25,20641.75,20605.25,20608.25
2025-03-12T12:40:00-04:00,20607.25,20608,20523,20533.75
2025-03-12T12:45:00-04:00,20533.75,20615.75,20526,20610.5
2025-03-12T12:50:00-04:00,20610.5,20629,20570.5,20601.5
2025-03-12T12:55:00-04:00,20602,20611.75,20537.75,20540.5
2025-03-12T13:00:00-04:00,20541,20558.25,20525,20546
2025-03-12T13:05:00-04:00,20546,20573.5,20515.75,20571.75
